column_or_row_name,BERVO Combination,BERVO Term,unit,definition,data_type,source_file,berdl_export_status,nonempty_value_count,sample_values,mapping_notes,proposed_bervo_term
phosphate,Phosphate,BERVO:8000138,,Concentration of phosphate,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
salinity,Salinity,BERVO:8000427,,The total concentration of all dissolved salts in a liquid or solid sample.,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
salinity method,"Method, Context = salinity",BERVO:8000303,,Reference or method used in determining salinity,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
links to additional analysis,"Identifier, Context = additional analysis link",BERVO:8000528,,Link to additional analysis results performed on the sample,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
growth facility,"Environmental sample location, Context = growth facility",BERVO:8000514,,"Type of facility where the sampled plant was grown; controlled vocabulary: growth chamber, open top chamber, glasshouse, experimental garden, field.",text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,array_level_metadata,250,field,,
storage conditions,"Condition, Context = sample storage",BERVO:8000302,,Explain how and for how long the soil sample was stored before DNA extraction (fresh/frozen/other),text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,array_level_metadata,250,frozen,,
collection date,"Date, Context = collection",BERVO:8000239,,"The time of sampling, either as an instance (single point in time) or interval. ",date,neon_Gs0149986_samples_soilproperties_metagenomes.csv,used_in_berdl_data_table,250,2018-06-14 | 2018-06-15 | 2018-06-27 | 2018-06-16 | 2018-06-19,,
"geographic location (country and/or sea,region)","Region, Context = geographic location",BERVO:8000519,,The geographical origin of the sample as defined by the country or sea name followed by specific region name.,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,array_level_metadata,250,"USA: Crested Butte, CO",,
geographic location (latitude and longitude),"Location, Context = latitude and longitude",BERVO:8000394,degree,The geographical origin of the sample as defined by latitude and longitude. ,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,used_in_berdl_data_table,250,38.957288 -106.9861 | 38.957368 -106.98616 | 38.957477 -106.986105 | 38.957461 -106.986231 | 38.957868 -106.984834,,
"elevation, meters",Altitude,BERVO:8000099,meter,"Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit",numeric,neon_Gs0149986_samples_soilproperties_metagenomes.csv,used_in_berdl_data_table,250,2906.94828 | 2906.45436 | 2906.61235 | 2905.96338 | 2913.57895,,
sample storage temperature,"Temperature, Context = sample storage",BERVO:8000133,degree Celsius,"Temperature at which sample was stored, e.g. -80 degree Celsius",text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,array_level_metadata,250,-80 Celsius,,
composite design/sieving,"Method, Context = composite design and sieving",BERVO:8000303,,Collection design of pooled samples and/or sieve size and amount of sample sieved,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
