column_or_row_name,unit,definition,data_type,missing_value_code
chi,N/A,"Leaf angle distribution parameter. A value of 1 indicates a spherical leaf angle distribution; values greater than 1 indicate a more planophile (horizontal) distribution, and values less than 1 indicate a more erectophile (vertical) distribution. Updated iteratively during the correction procedure.",numeric,NA
f,N/A,"Fraction of intercepted radiation that is forward-scattered by leaves, derived from the leaf single-scattering albedo (omega) and leaf angle geometry. Negative values can arise during intermediate iterations before convergence.",numeric,NA
Scat1,N/A,"Total scattered radiation correction term for sensor ring 1, combining contributions from leaf-scattered irradiance and the forward-scattering fraction. Applied to the measured gap fraction to remove scattering bias.",numeric,NA
Scat2,N/A,Total scattered radiation correction term for sensor ring 2.,numeric,NA
Scat3,N/A,Total scattered radiation correction term for sensor ring 3.,numeric,NA
Scat4,N/A,Total scattered radiation correction term for sensor ring 4.,numeric,NA
Scat5,N/A,Total scattered radiation correction term for sensor ring 5.,numeric,NA
omega,N/A,"Leaf single-scattering albedo, representing the fraction of intercepted radiation that is scattered (reflected or transmitted) by an individual leaf rather than absorbed. Estimated iteratively and used to compute the forward-scattering fraction f. Values typically range from 0 to 1, though intermediate iterations may produce values outside this range before convergence.",numeric,NA
L,N/A,"Leaf area index (LAI) estimated at each iteration of the scattering correction algorithm. The final converged value represents the scattering-corrected LAI for the site. Intermediate or non-converged iterations may show physically unrealistic values (e.g., negative or very large numbers).",numeric,NA
L_FV2200,N/A,"Leaf area index (LAI) computed using LI-COR FV2200 software with the standard LI-COR 2200 algorithm, corrected for foliage clumping via the apparent clumping factor.",numeric,NA
Le_FV2200,N/A,"Effective leaf area index computed using LI-COR FV2200 software with the standard LI-COR 2200 algorithm, assuming a random (non-clumped) foliage distribution. This is the uncorrected estimate prior to application of the clumping factor.",numeric,NA
L_2200,N/A,"Leaf area index computed using the `rlai` R package with the LI-COR native 2200 algorithm, corrected for foliage clumping via the apparent clumping factor.",numeric,NA
Le_2200,N/A,"Effective leaf area index computed using the `rlai` R package with the LI-COR native 2200 algorithm, assuming a random (non-clumped) foliage distribution. This is the uncorrected estimate prior to application of the clumping factor.",numeric,NA
S_SCATCOR_FV2200,N/A,Scattering correction factor computing using LI-COR FV2200 software. This value is applied to gap fraction estimates to compute L_SCATCOR.,numeric,NA
L_SCATCOR_FV2200,N/A,"Scatter-corrected leaf area index (LAI) computed using LI-COR FV2200 software. This value represents a correction on L_FV2200 for radiation scattering through foliage by accounting for non-zero leaf transmittance at the measurement wavelength, typically yielding a higher L than uncorrected estimates.",numeric,NA
S_SCATCOR_rlai,N/A,Scattering correction factor computing using the `rlai` R package. This value is applied to gap fraction estimates to compute L_SCATCOR.,numeric,NA
L_SCATCOR_rlai,N/A,"Scatter-corrected leaf area index (LAI) computed using the `rlai` R package. This value represents a correction on L_2200 for radiation scattering through foliage by accounting for non-zero leaf transmittance at the measurement wavelength, typically yielding a higher L than uncorrected estimates.",numeric,NA
